Winery,Wine name,Wine type,Grapes,Vintage,Region,Country,Tasting notes,Price,Tasting summary,Aromas,url
Boekenhoutskloof,Cabernet Sauvignon Stellenbosch,Red wine,100% Cabernet Sauvignon,2014,Stellenbosch,South Africa,"Light - Bold: 76.63277500000001%, Smooth - Tannic: 63.711169999999996%, Dry - Sweet: 13.9495775%, Soft - Acidic: 59.49477499999999%",52.5,The taste profile of Boekenhoutskloof Cabernet Sauvignon Stellenbosch is based on 1104 user reviews,"{'Oak': ['oak', 'tobacco', 'vanilla', 'chocolate', 'cedar', 'cigar box', 'coffee', 'dark chocolate', 'nutmeg', 'cigar', 'clove', 'coconut', 'caramel', 'baking spice', 'mocha', 'cola', 'butter', 'sweet tobacco', 'pipe tobacco', 'cocoa nib', 'wood smoke', 'espresso', 'sandalwood'], 'Black Fruit': ['blackberry', 'cassis', 'black fruit', 'plum', 'dark fruit', 'blackcurrant', 'black cherry', 'blueberry', 'black plum', 'bramble', 'jam', 'mulberry', 'boysenberry', 'black raspberry', 'berry jam'], 'Earth': ['leather', 'smoke', 'earthy', 'graphite', 'minerals', 'cocoa', 'pencil shavings', 'tobacco leaf', 'forest floor', 'charcoal', 'ash', 'tar', 'stone', 'game', 'mushroom', 'pencil lead', 'barbecue meat', 'smoked meats', 'truffle', 'potting soil', 'slate', 'clay dust', 'iron'], 'Spices': ['pepper', 'eucalyptus', 'mint', 'licorice', 'white pepper', 'savory', 'cinnamon', 'anise', 'aniseed', 'menthol', 'bay leaf', 'rosemary', 'jalapeno', 'thyme', 'star anise', 'oregano', 'fennel'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'red plum', 'strawberry', 'cranberry', 'red cherry', 'red currant', 'cherry cola', 'wild strawberry', 'pomegranate'], 'Vegetal': ['bell pepper', 'green bell pepper', 'rhubarb', 'grass', 'tomato leaf', 'tomato'], 'Microbio': ['cream', 'oil', 'campfire', 'cheese'], 'Dried Fruit': ['prune', 'fig', 'raisin', 'dried blueberry', 'dried fruit'], 'Floral': ['violet', 'perfume', 'rose petal', 'iris'], 'Non Oak': ['toast', 'spice cake', 'dried fig', 'brioche'], 'Citrus Fruit': ['orange peel', 'marmalade', 'orange'], 'Tree Fruit': ['stone fruit'], 'Tropical Fruit': ['mango', 'pineapple']}",https://www.vivino.com/FR/en/boekenhoutskloof-cabernet-sauvignon-stellenbosch/w/8057385?price_id=24223922&year=2014
Newton,Cabernet Sauvignon Unfiltered,Red wine,100% Cabernet Sauvignon,2018,Napa Valley,United States,"Light - Bold: 85%, Smooth - Tannic: 52.9948825%, Dry - Sweet: 7.690087499999999%, Soft - Acidic: 52.7226075%",52,The taste profile of Newton Cabernet Sauvignon Unfiltered is based on 886 user reviews,"{'Oak': ['oak', 'tobacco', 'chocolate', 'vanilla', 'cedar', 'coffee', 'mocha', 'dark chocolate', 'baking spice', 'cigar box', 'butter', 'sweet tobacco', 'coconut', 'dill', 'espresso', 'cigar', 'incense', 'buttered popcorn', 'clove', 'caramel', 'sandalwood', 'milk chocolate', 'camphor', 'toffee'], 'Black Fruit': ['blackberry', 'dark fruit', 'plum', 'black cherry', 'cassis', 'black fruit', 'blackcurrant', 'blueberry', 'bramble', 'black plum', 'mulberry', 'jam', 'ripe blackberry', 'black raspberry', 'boysenberry'], 'Earth': ['earthy', 'leather', 'smoke', 'cocoa', 'graphite', 'mushroom', 'slate', 'game', 'tar', 'minerals', 'flint', 'pencil lead', 'new leather', 'charcoal', 'chalk', 'tobacco leaf', 'clay pot', 'wet concrete', 'forest floor', 'ginger', 'roasted meat', 'pencil shavings'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'strawberry', 'red cherry', 'cranberry', 'sour cherry', 'cotton candy', 'maraschino cherry', 'red plum'], 'Spices': ['pepper', 'licorice', 'anise', 'black licorice', 'eucalyptus', 'aniseed', 'juniper berry', 'mint', 'green peppercorn', 'dried herbs', 'menthol'], 'Dried Fruit': ['raisin', 'fig', 'dried cranberry', 'dried fruit'], 'Microbio': ['cheese', 'cream', 'yeast'], 'Floral': ['violet', 'lavender'], 'Vegetal': ['hay', 'grass', 'bell pepper', 'tomato'], 'Non Oak': ['toast'], 'Tree Fruit': ['apple']}",https://www.vivino.com/FR/en/newton-cabernet-sauvignon-unfiltered/w/1796200?price_id=35385068&year=2018
Pine Ridge,Napa Valley Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2022,Napa Valley,United States,"Light - Bold: 85%, Smooth - Tannic: 50.861775%, Dry - Sweet: 10.63399%, Soft - Acidic: 51.0259925%",90,The taste profile of Pine Ridge Napa Valley Cabernet Sauvignon is based on 3584 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'cedar', 'dark chocolate', 'coffee', 'baking spice', 'butter', 'clove', 'caramel', 'coconut', 'cola', 'espresso', 'nutmeg', 'cigar box', 'mocha', 'milk chocolate', 'sweet tobacco', 'cigar', 'dill', 'macadamia nut', 'baking chocolate', 'butterscotch', 'incense', 'allspice', 'toffee', 'toasted marshmallow', 'sandalwood'], 'Black Fruit': ['blackberry', 'plum', 'dark fruit', 'cassis', 'black cherry', 'black fruit', 'blueberry', 'blackcurrant', 'jam', 'boysenberry', 'black plum', 'bramble', 'black raspberry', 'blackberry jam', 'ripe blackberry', 'black olive', 'grape jam', 'mulberry', 'kalamata olive', 'berry jam', 'plum sauce'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'strawberry', 'red cherry', 'cranberry', 'red plum', 'red currant', 'bing cherry', 'cherry cola', 'pomegranate', 'sour cherry', 'maraschino cherry', 'fruit punch', 'huckleberry', 'cherry syrup'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'mushroom', 'minerals', 'graphite', 'stone', 'tar', 'pencil shavings', 'honey', 'pencil lead', 'chalk', 'forest floor', 'slate', 'game', 'tobacco leaf', 'truffle', 'ginger', 'rubber', 'balsamic', 'crushed rocks', 'flint', 'charcoal', 'salt', 'iron'], 'Spices': ['pepper', 'licorice', 'cinnamon', 'mint', 'anise', 'eucalyptus', 'savory', 'dried herbs', 'menthol', 'black licorice', 'sage', 'star anise', 'red licorice', 'white pepper', 'thyme', 'vanilla bean', 'rosemary', 'green peppercorn', 'fennel', 'jalapeno', 'bay leaf', 'tarragon', 'oregano'], 'Non Oak': ['toast', 'nutty', 'hazelnut', 'almond', 'toasted nuts', 'dried fig', 'marzipan', 'graham cracker', 'pecan', 'molasses', 'toasted almond', 'chestnut'], 'Dried Fruit': ['fig', 'raisin', 'dried fruit', 'prune', 'quince paste'], 'Microbio': ['cheese', 'cream', 'bread yeast', 'campfire'], 'Vegetal': ['bell pepper', 'asparagus', 'rhubarb', 'arugula', 'green bell pepper', 'grass', 'green bean', 'straw', 'tomato', 'gooseberry', 'tomato leaf', 'green almond'], 'Floral': ['lavender', 'violet', 'lilac', 'citrus blossom', 'perfume'], 'Tree Fruit': ['apricot', 'apple', 'stone fruit', 'peach', 'melon', 'pear', 'quince'], 'Citrus Fruit': ['grapefruit', 'marmalade', 'orange rind', 'lemon', 'pink grapefruit', 'orange', 'lime', 'citrus'], 'Tropical Fruit': ['pineapple', 'guava', 'tropical']}",https://www.vivino.com/FR/en/pine-ridge-napa-valley-cabernet-sauvignon/w/3545?price_id=36829497&year=2022
Drei Donà - Tenuta La Palazza,Magnificat Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2003,Emilia-Romagna,Italy,"Light - Bold: 65.708015%, Smooth - Tannic: 49.984745000000004%, Dry - Sweet: 21.4360175%, Soft - Acidic: 33.278925%",45.75,The taste profile of Drei Donà - Tenuta La Palazza Magnificat Cabernet Sauvignon is based on 95 user reviews,"{'Earth': ['leather', 'earthy', 'smoke', 'graphite'], 'Oak': ['oak', 'chocolate', 'tobacco', 'butter', 'coffee', 'vanilla'], 'Black Fruit': ['blackberry', 'cassis', 'black fruit', 'plum', 'dark fruit'], 'Spices': ['cinnamon', 'rosemary', 'mint'], 'Dried Fruit': ['dried fruit', 'raisin'], 'Red Fruit': ['cherry', 'cranberry'], 'Vegetal': [""cat's pee""]}",https://www.vivino.com/FR/en/drei-dono-magnificat-cabernet-sauvignon/w/88394?price_id=18653042&year=2003
Cafaggio,Basilica del Cortaccio Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,1994,Basilicata,Italy,"Light - Bold: 75.0905325%, Smooth - Tannic: 43.4039%, Dry - Sweet: 20.093487500000002%, Soft - Acidic: 32.107567499999995%",46,The taste profile of Cafaggio Basilica del Cortaccio Cabernet Sauvignon is based on 379 user reviews,"{'Oak': ['oak', 'tobacco', 'vanilla', 'cedar', 'chocolate', 'coffee', 'cigar', 'cola', 'butter', 'mocha', 'clove', 'baking spice', 'dark chocolate'], 'Black Fruit': ['plum', 'blackberry', 'black fruit', 'black cherry', 'dark fruit', 'blackcurrant', 'blueberry', 'cassis', 'bramble'], 'Red Fruit': ['cherry', 'red fruit', 'red cherry', 'cherry cola', 'sour cherry', 'strawberry', 'pomegranate', 'raspberry', 'red plum', 'dried strawberry'], 'Earth': ['leather', 'earthy', 'smoke', 'stone', 'mushroom', 'forest floor', 'pencil lead', 'flint', 'tar', 'minerals', 'dried leaves', 'chalk', 'slate'], 'Spices': ['eucalyptus', 'licorice', 'dried herbs', 'savory', 'oregano', 'pepper', 'thyme', 'menthol', 'star anise', 'cinnamon', 'mint', 'dried rosemary', 'red licorice', 'rosemary'], 'Floral': ['violet', 'perfume', 'orange blossom'], 'Microbio': ['cheese', 'sweaty', 'cream'], 'Vegetal': ['rhubarb', 'grass', 'bell pepper'], 'Non Oak': ['toast', 'dried fig'], 'Dried Fruit': ['prune', 'raisin'], 'Tree Fruit': ['stone fruit'], 'Citrus Fruit': ['lime']}",https://www.vivino.com/FR/en/cafaggio-basilica-del-cortaccio-cabernet-sauvignon/w/2392780?price_id=34249971&year=1994
Francis Ford Coppola Winery,Director's Cut Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2020,Sonoma County,United States,"Light - Bold: 85%, Smooth - Tannic: 51.0551625%, Dry - Sweet: 5.735932500000002%, Soft - Acidic: 44.381535%",50.83,The taste profile of Francis Ford Coppola Winery Director's Cut Cabernet Sauvignon is based on 3117 user reviews,"{'Oak': ['oak', 'vanilla', 'tobacco', 'chocolate', 'cedar', 'dark chocolate', 'clove', 'baking spice', 'coffee', 'caramel', 'mocha', 'cola', 'butter', 'espresso', 'nutmeg', 'cigar box', 'toffee', 'cigar', 'milk chocolate', 'pastry', 'sweet tobacco', 'buttered popcorn', 'butterscotch', 'hickory', 'baking chocolate'], 'Black Fruit': ['blackberry', 'plum', 'dark fruit', 'black cherry', 'cassis', 'black fruit', 'blackcurrant', 'blueberry', 'jam', 'blackberry jam', 'black plum', 'black raspberry', 'ripe blackberry', 'bramble', 'boysenberry', 'black olive'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'strawberry', 'cranberry', 'red cherry', 'red currant', 'sour cherry', 'red plum'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'minerals', 'mushroom', 'game', 'forest floor', 'chalk', 'slate', 'truffle', 'charcoal', 'pencil shavings', 'tobacco leaf', 'ash', 'ginger', 'balsamic', 'barbecue smoke', 'stone', 'tar', 'underbrush'], 'Spices': ['pepper', 'licorice', 'anise', 'cinnamon', 'mint', 'eucalyptus', 'rosemary', 'savory', 'white pepper', 'dried herbs', 'sage', 'bay leaf', 'black licorice', 'menthol', 'tarragon', 'star anise', 'fennel'], 'Dried Fruit': ['raisin', 'prune', 'fig', 'dried blackberry', 'dried fruit', 'dried blueberry', 'dried cranberry'], 'Microbio': ['cheese', 'cream', 'yogurt', 'cheesy', 'yeast'], 'Non Oak': ['toast', 'almond', 'brown sugar', 'toasted nuts', 'molasses', 'graham cracker', 'maple syrup', 'teriyaki', 'nutty', 'brioche', 'walnut'], 'Vegetal': ['bell pepper', 'tomato', 'grass', 'asparagus', 'green bell pepper', 'red bell pepper'], 'Citrus Fruit': ['lime', 'citrus', 'orange zest', 'orange rind', 'orange'], 'Floral': ['violet', 'perfume', 'lavender'], 'Tree Fruit': ['apple', 'melon', 'apricot'], 'Tropical Fruit': ['lychee', 'tropical']}",https://www.vivino.com/FR/en/francis-ford-coppola-winery-director-s-cut-cabernet-sauvignon/w/6277?price_id=37693642&year=2020
Kendall-Jackson,Hawkeye Mountain Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2019,Alexander Valley,United States,"Light - Bold: 83.36101%, Smooth - Tannic: 54.01145%, Dry - Sweet: 3.351745000000001%, Soft - Acidic: 41.606102500000006%",49.95,The taste profile of Kendall-Jackson Hawkeye Mountain Cabernet Sauvignon is based on 220 user reviews,"{'Black Fruit': ['black cherry', 'blackberry', 'plum', 'cassis', 'blackcurrant', 'dark fruit', 'blueberry', 'black fruit', 'black plum', 'bramble'], 'Oak': ['oak', 'vanilla', 'cedar', 'chocolate', 'tobacco', 'caramel', 'dark chocolate', 'cigar', 'milk chocolate', 'mocha', 'baking spice', 'clove', 'coffee', 'hickory'], 'Earth': ['leather', 'minerals', 'smoke', 'earthy', 'forest floor', 'slate', 'grilled meat', 'flint', 'mushroom'], 'Red Fruit': ['cherry', 'red currant', 'raspberry', 'cranberry', 'red cherry', 'red fruit'], 'Spices': ['pepper', 'sage', 'licorice', 'eucalyptus', 'cinnamon', 'bay leaf', 'menthol'], 'Dried Fruit': ['prune', 'fig', 'black raisin', 'raisin'], 'Non Oak': ['toast', 'walnut', 'brown sugar', 'nutty'], 'Microbio': ['oil', 'cream'], 'Tree Fruit': ['pear']}",https://www.vivino.com/FR/en/kendall-jackson-hawkeye-mountain-cabernet-sauvignon/w/1707664?price_id=35963678&year=2019
Villa Russiz,Défi de la Tour,Red wine,100% Cabernet Sauvignon,2013,Collio,Italy,"Light - Bold: 70.46815749999999%, Smooth - Tannic: 37.554875%, Dry - Sweet: 18.603662500000002%, Soft - Acidic: 34.5155825%",50.6,The taste profile of Villa Russiz Défi de la Tour is based on 23 user reviews,"{'Black Fruit': ['blackcurrant', 'black cherry'], 'Earth': ['forest floor', 'leather', 'truffle'], 'Spices': ['licorice', 'oregano'], 'Oak': ['oak']}",https://www.vivino.com/FR/en/russiz-defi-de-la-tour/w/5372506?price_id=34258745&year=2013
Terre Rosse,Il Rosso di Enrico Vallania,Red wine,100% Cabernet Sauvignon,1993,Emilia-Romagna,Italy,"Light - Bold: 61.351304999999996%, Smooth - Tannic: 42.0297375%, Dry - Sweet: 14.713749999999997%, Soft - Acidic: 26.657067500000004%",50.6,The taste profile of Terre Rosse Il Rosso di Enrico Vallania is based on 22 user reviews,"{'Black Fruit': ['blackcurrant'], 'Tree Fruit': ['green apple'], 'Citrus Fruit': ['lemon'], 'Spices': ['pepper'], 'Vegetal': ['grass'], 'Microbio': ['cream'], 'Non Oak': ['nutty'], 'Oak': ['butter']}",https://www.vivino.com/FR/en/terre-rosse-il-rosso-di-enrico-vallania-emilia-romagna/w/2566228?price_id=34250501&year=1993
Kendall-Jackson,Vintner's Reserve Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2019,Sonoma County,United States,"Light - Bold: 85%, Smooth - Tannic: 52.824592499999994%, Dry - Sweet: 8.46322%, Soft - Acidic: 44.26301%",50.09,The taste profile of Kendall-Jackson Vintner's Reserve Cabernet Sauvignon is based on 4145 user reviews,"{'Oak': ['oak', 'vanilla', 'chocolate', 'mocha', 'cedar', 'tobacco', 'coffee', 'butter', 'dark chocolate', 'caramel', 'clove', 'nutmeg', 'cola', 'coconut', 'baking spice', 'milk chocolate', 'allspice', 'espresso', 'toffee', 'cigar', 'butterscotch', 'dill', 'baking chocolate', 'toasted marshmallow'], 'Black Fruit': ['blackberry', 'black cherry', 'plum', 'cassis', 'dark fruit', 'black fruit', 'blackcurrant', 'blueberry', 'jam', 'black plum', 'blackberry jam', 'boysenberry', 'bramble', 'sour plum', 'black olive', 'berry jam', 'ripe blackberry', 'mulberry', 'black raspberry'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'cranberry', 'strawberry', 'red cherry', 'pomegranate', 'red currant', 'wild strawberry', 'ripe strawberry', 'cotton candy', 'red plum'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'mushroom', 'pencil lead', 'pencil shavings', 'graphite', 'chalk', 'forest floor', 'game', 'minerals', 'charcoal', 'potting soil', 'iron', 'wax', 'tar', 'salt', 'underbrush', 'tobacco leaf', 'slate', 'balsamic', 'honey', 'ginger', 'truffle', 'plastic'], 'Spices': ['pepper', 'licorice', 'mint', 'cinnamon', 'anise', 'vanilla bean', 'eucalyptus', 'green herbs', 'white pepper', 'thyme', 'savory', 'red licorice', '5-spice powder', 'rosemary', 'menthol', 'dried herbs', 'musk'], 'Microbio': ['cheese', 'cream', 'oil', 'banana', 'campfire', 'yeast', 'yogurt'], 'Dried Fruit': ['prune', 'raisin', 'fig', 'dried fruit', 'black raisin', 'dragon fruit'], 'Citrus Fruit': ['citrus', 'lemon', 'orange', 'lime', 'orange peel', 'marmalade', 'tangerine', 'grapefruit'], 'Non Oak': ['toast', 'almond', 'maple syrup', 'walnut', 'hazelnut', 'biscuit', 'carob', 'black walnut'], 'Tree Fruit': ['pear', 'melon', 'apple', 'green melon'], 'Vegetal': ['grass', 'tomato', 'green bell pepper', 'bell pepper', 'bitter almond', 'hay', 'asparagus', 'red bell pepper'], 'Floral': ['violet', 'perfume', 'apple blossom', 'lilac', 'citrus blossom', 'potpourri', 'jasmine'], 'Tropical Fruit': ['pineapple', 'fruit cup', 'bubblegum', 'mango']}",https://www.vivino.com/FR/en/kendall-jackson-vintner-s-reserve-cabernet-sauvignon/w/2140?price_id=34639294&year=2019
